,Unnamed: 0,truth,image_path
0,0,흥해,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/흥해.png
1,1,죽령천,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/죽령천.png
2,2,유유,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유유.png
3,3,유투정,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유투정.png
4,4,유서리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유서리.png
5,5,유신동,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유신동.png
6,6,율어리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율어리.png
7,7,유평리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유평리.png
8,8,유목리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유목리.png
9,9,율동,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율동.png
10,10,율도,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율도.png
11,11,율산,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율산.png
12,12,율포리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율포리.png
13,13,어울목,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/어울목.png
14,14,율리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율리.png
15,15,율곡,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율곡.png
16,16,율길리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율길리.png
17,17,율치리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율치리.png
18,18,율치,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/율치.png
19,19,육타리도,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/육타리도.png
20,20,유정리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유정리.png
21,21,유구천,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유구천.png
22,22,원유둔,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/원유둔.png
23,23,유동리,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유동리.png
24,24,유천,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유천.png
25,25,유촌,/mnt/122a7683-fa4b-45dd-9f13-b18cc4f4a187/PaddleOCR_testing/Paddle_test_images/Noisy_Multilang_renders/ko_gcv/유촌.png
